clip_id,meeting_date,title,status,error,output_dir,updated_at
95,2021-06-02,Planning Commission,done,,data/bos_transcripts/2021-06-02_clip95_Planning_Commission,2026-03-17T18:03:17.657596
96,2021-06-09,Board of Supervisors,done,,data/bos_transcripts/2021-06-09_clip96_Board_of_Supervisors,2026-03-17T19:14:46.115671
97,2021-06-16,Planning Commission,done,,data/bos_transcripts/2021-06-16_clip97_Planning_Commission,2026-03-17T20:37:25.495792
98,2021-06-23,Board of Supervisors,done,,data/bos_transcripts/2021-06-23_clip98_Board_of_Supervisors,2026-03-17T20:56:55.156842
99,2021-07-14,Board of Supervisors,done,,data/bos_transcripts/2021-07-14_clip99_Board_of_Supervisors,2026-03-18T03:53:34.261252
100,2021-07-21,Planning Commission,done,,data/bos_transcripts/2021-07-21_clip100_Planning_Commission,2026-03-18T04:29:51.092701
101,2021-08-11,Board of Supervisors,done,,data/bos_transcripts/2021-08-11_clip101_Board_of_Supervisors,2026-03-18T07:53:33.523496
102,2021-09-01,Planning Commission,done,,data/bos_transcripts/2021-09-01_clip102_Planning_Commission,2026-03-18T08:57:32.439546
103,2021-09-08,Board of Supervisors,done,,data/bos_transcripts/2021-09-08_clip103_Board_of_Supervisors,2026-03-18T11:44:32.525356
105,2021-09-15,Planning Commission,done,,data/bos_transcripts/2021-09-15_clip105_Planning_Commission,2026-03-18T12:25:21.142275
106,2021-09-22,Board of Supervisors,done,,data/bos_transcripts/2021-09-22_clip106_Board_of_Supervisors,2026-03-18T15:37:56.329057
107,2021-10-13,Board of Supervisors,done,,data/bos_transcripts/2021-10-13_clip107_Board_of_Supervisors,2026-03-18T18:01:29.269670
108,2021-10-20,Planning Commission,done,,data/bos_transcripts/2021-10-20_clip108_Planning_Commission,2026-03-18T21:14:41.607736
109,2021-10-27,Board of Supervisors,done,,data/bos_transcripts/2021-10-27_clip109_Board_of_Supervisors,2026-03-18T21:59:51.895293
110,2021-11-10,Board of Supervisors,done,,data/bos_transcripts/2021-11-10_clip110_Board_of_Supervisors,2026-03-19T02:55:46.160155
111,2021-11-17,Planning Commission,done,,data/bos_transcripts/2021-11-17_clip111_Planning_Commission,2026-03-19T03:35:51.202946
112,2021-12-01,Planning Commission,done,,data/bos_transcripts/2021-12-01_clip112_Planning_Commission,2026-03-19T05:18:46.622674
113,2021-12-08,Board of Supervisors,done,,data/bos_transcripts/2021-12-08_clip113_Board_of_Supervisors,2026-03-19T08:46:31.121405
114,2021-12-15,Planning Commission,done,,data/bos_transcripts/2021-12-15_clip114_Planning_Commission,2026-03-19T09:26:52.480587
115,2022-01-05,Planning Commission,done,,data/bos_transcripts/2022-01-05_clip115_Planning_Commission,2026-03-19T10:17:48.930166
116,2022-01-12,Board of Supervisors,done,,data/bos_transcripts/2022-01-12_clip116_Board_of_Supervisors,2026-03-19T12:28:03.988701
117,2022-01-19,Planning Commission,done,,data/bos_transcripts/2022-01-19_clip117_Planning_Commission,2026-03-19T12:56:02.010327
118,2022-01-26,Board of Supervisors,done,,data/bos_transcripts/2022-01-26_clip118_Board_of_Supervisors,2026-03-19T15:27:22.087296
119,2022-02-09,Board of Supervisors,done,,data/bos_transcripts/2022-02-09_clip119_Board_of_Supervisors,2026-03-19T20:06:46.401348
120,2022-02-16,Planning Commission,done,,data/bos_transcripts/2022-02-16_clip120_Planning_Commission,2026-03-19T21:30:27.203756
121,2022-02-23,Board of Supervisors,done,,data/bos_transcripts/2022-02-23_clip121_Board_of_Supervisors,2026-03-20T00:47:04.416484
122,2022-03-02,Planning Commission,done,,data/bos_transcripts/2022-03-02_clip122_Planning_Commission,2026-03-20T02:06:48.572334
123,2022-03-09,Board of Supervisors,downloading,,,2026-03-19T18:57:00.952746
124,2022-03-16,Planning Commission,downloading,,,2026-03-19T19:14:12.680147
126,2022-03-23,Board of Supervisors,downloading,,,2026-03-19T20:06:46.402475
127,2022-04-06,Planning Commission,downloading,,,2026-03-19T20:12:33.380369
128,2022-04-13,Board of Supervisors,downloading,,,2026-03-19T20:16:26.718650
129,2022-04-27,Board of Supervisors,downloading,,,2026-03-19T20:47:07.084677
130,2022-05-04,Planning Commission,downloading,,,2026-03-19T21:43:31.576024
131,2022-05-11,Board of Supervisors,downloading,,,2026-03-19T21:53:17.704151
132,2022-05-18,Planning Commission,downloading,,,2026-03-19T22:16:01.381062
133,2022-05-25,Board of Supervisors,downloading,,,2026-03-19T22:29:55.594915
134,2022-06-01,Planning Commission,downloading,,,2026-03-19T22:41:23.249061
135,2022-06-08,Board of Supervisors,downloading,,,2026-03-19T23:15:12.908994
136,2022-06-15,Planning Commission,downloading,,,2026-03-19T23:49:55.861871
155,2022-07-13,Board of Supervisors,downloading,,,2026-03-19T23:55:48.168694
157,2022-07-20,Planning Commission,downloading,,,2026-03-20T00:23:58.792203
158,2022-08-10,Board of Supervisors,downloading,,,2026-03-20T00:51:47.358685
159,2022-08-17,Planning Commission,downloading,,,2026-03-20T01:08:41.033423
160,2022-09-07,Planning Commission,downloading,,,2026-03-20T01:20:11.528085
161,2022-09-14,Board of Supervisors,downloading,,,2026-03-20T01:51:19.149251
162,2022-09-21,Planning Commission,downloading,,,2026-03-17T11:19:36.480029
163,2022-09-28,Board of Supervisors,downloading,,,2026-03-17T11:29:31.064995
164,2022-10-12,Board of Supervisors,downloading,,,2026-03-17T11:51:54.830538
165,2022-10-19,Planning Commission,downloading,,,2026-03-17T11:53:57.115463
166,2022-10-26,Board of Supervisors,downloading,,,2026-03-17T12:23:24.822680
167,2022-11-09,Board of Supervisors,downloading,,,2026-03-17T12:45:35.296145
168,2022-12-07,Planning Commission,downloading,,,2026-03-17T12:58:10.469115
